Village_Name,Village_Name_English,Latitude,Longitude
Degam,,21.6996005,69.5995061
Fatana,,21.8736323,69.5560807
Bharvada,,21.7731353,69.5823649
Bagavadar,,21.7907067,69.5913335
નાગવીરી,Nagviri,23.5065731,69.0439926
Kelghar,,17.8547627,73.7670258
Medha,,17.7947371,73.8277922
Dasgaon,,18.0984592,73.3294819
Pali,Pali,18.541638,73.2197667
Kolad,Kolad,18.4059382,73.2072541
Khandala,,18.7559917,73.3746932
Jamawala,,20.979962,70.7681653
Ajanta,,20.532524,75.7513692
Warwand,,20.5132691,76.2793196
Jambrung,,18.8334254,73.3385677
Bid Khurd,,18.8401951,73.3418157
Chowk,,18.9005462,73.2397866
Savroli,,18.8078307,73.2856109
Kolvan,Kolvan,18.5818209,73.5335824
Vagator,,15.5985735,73.7408126
Manjarli,,19.1745451,73.2375331
Belavali,,19.1766096,73.2289517
Mangrol,,21.575642,72.8565391
Kalam,,21.5574204,72.8589033
Valnar,,21.5347078,72.8408788
Rohit village,,21.5359454,72.860534
Rayama,,21.5183051,72.8183468
Sunev Kalla,,21.4805631,72.8322759
Olpad,,21.3360054,72.7516479
Ratanpur,,22.734151,72.709934
Lavale,Lavale,18.5230232,73.7224013
Jetalsar,,21.7092774,70.5761993
Nareshwar,,21.871986,73.2349124
Narayanpur,,18.3015431,73.9748183
Kalyan Gaon,Kalyan Gaon,18.3500438,73.7647832
Gunjavane,,18.2538485,73.7051594
Dasve,Dasve,18.4010343,73.5004245
Jalamb,,20.8149929,76.5882369
Gumgaon,,20.9889164,79.0302548
Rajmachi village,,18.8258246,73.3946856
Rai,,19.2969528,72.821187
Morva,,19.2918809,72.8144651
આડેસર,Adesar,23.5589195,70.9838598
Chaugaon,,20.8724468,74.5809017
Ajnale,,20.8278491,74.5964071
Dongrale,,20.7850717,74.5724496
Dighi,,18.2664251,72.9696679
Padalsa,,21.1059924,75.798048
Bamnode,,21.134197,75.8039459
Amoda,,21.148832,75.8288783
Kochur,,21.1782878,75.8993921
Rozoda,,21.194568,75.8912122
Khiroda,,21.2080977,75.8821889
Dodhawad,,21.1734065,75.10772
Pilode,,21.1013852,75.1124932
Jalod,,21.1637448,75.1417395
Hingone Khurd,,21.1741568,75.1026576
Nimbhore,,21.1412336,75.0911158
